pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
H5,2021,2021,2021,2,0,1,Import,440,Lithuania,LTU,0,World,WLD,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,101793237,,,0
H5,2021,2021,2021,2,0,1,Import,440,Lithuania,LTU,32,Argentina,ARG,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,611010,,,0
H5,2021,2021,2021,2,0,1,Import,440,Lithuania,LTU,40,Austria,AUT,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,904210,,,0
H5,2021,2021,2021,2,0,1,Import,440,Lithuania,LTU,56,Belgium,BEL,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,294926,,,0
H5,2021,2021,2021,2,0,1,Import,440,Lithuania,LTU,76,Brazil,BRA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,34860,,,0
H5,2021,2021,2021,2,0,1,Import,440,Lithuania,LTU,100,Bulgaria,BGR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,577240,,,0
H5,2021,2021,2021,2,0,1,Import,440,Lithuania,LTU,104,Myanmar,MMR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,4885950,,,0
H5,2021,2021,2021,2,0,1,Import,440,Lithuania,LTU,112,Belarus,BLR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,13572530,,,0
H5,2021,2021,2021,2,0,1,Import,440,Lithuania,LTU,116,Cambodia,KHM,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,129310,,,0
H5,2021,2021,2021,2,0,1,Import,440,Lithuania,LTU,203,Czechia,CZE,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,241466,,,0
H5,2021,2021,2021,2,0,1,Import,440,Lithuania,LTU,208,Denmark,DNK,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,1353700,,,0
H5,2021,2021,2021,2,0,1,Import,440,Lithuania,LTU,233,Estonia,EST,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,2823420,,,0
H5,2021,2021,2021,2,0,1,Import,440,Lithuania,LTU,251,France,FRA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,3024196,,,0
H5,2021,2021,2021,2,0,1,Import,440,Lithuania,LTU,276,Germany,DEU,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,1464450,,,0
H5,2021,2021,2021,2,0,1,Import,440,Lithuania,LTU,300,Greece,GRC,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,111300,,,0
H5,2021,2021,2021,2,0,1,Import,440,Lithuania,LTU,328,Guyana,GUY,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,84230,,,0
H5,2021,2021,2021,2,0,1,Import,440,Lithuania,LTU,348,Hungary,HUN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,1268500,,,0
H5,2021,2021,2021,2,0,1,Import,440,Lithuania,LTU,381,Italy,ITA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,1454820,,,0
H5,2021,2021,2021,2,0,1,Import,440,Lithuania,LTU,392,Japan,JPN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,40,,,0
H5,2021,2021,2021,2,0,1,Import,440,Lithuania,LTU,417,Kyrgyzstan,KGZ,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,35790,,,0
H5,2021,2021,2021,2,0,1,Import,440,Lithuania,LTU,428,Latvia,LVA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,13111809,,,0
H5,2021,2021,2021,2,0,1,Import,440,Lithuania,LTU,528,Netherlands,NLD,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,475413,,,0
