pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
H5,2021,2021,2021,2,0,1,Import,442,Luxembourg,LUX,0,World,WLD,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,67015261,,,4
H5,2021,2021,2021,2,0,1,Import,442,Luxembourg,LUX,32,Argentina,ARG,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,70,,,0
H5,2021,2021,2021,2,0,1,Import,442,Luxembourg,LUX,40,Austria,AUT,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,54704,,,0
H5,2021,2021,2021,2,0,1,Import,442,Luxembourg,LUX,56,Belgium,BEL,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,6569670,,,4
H5,2021,2021,2021,2,0,1,Import,442,Luxembourg,LUX,68,Bolivia (Plurinational State of),BOL,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,30984,,,0
H5,2021,2021,2021,2,0,1,Import,442,Luxembourg,LUX,72,Botswana,BWA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,179,,,0
H5,2021,2021,2021,2,0,1,Import,442,Luxembourg,LUX,116,Cambodia,KHM,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,31703,,,0
H5,2021,2021,2021,2,0,1,Import,442,Luxembourg,LUX,120,Cameroon,CMR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,1224,,,0
H5,2021,2021,2021,2,0,1,Import,442,Luxembourg,LUX,124,Canada,CAN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,5720,,,0
H5,2021,2021,2021,2,0,1,Import,442,Luxembourg,LUX,144,Sri Lanka,LKA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,2759,,,0
H5,2021,2021,2021,2,0,1,Import,442,Luxembourg,LUX,156,China,CHN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,4928,,,0
H5,2021,2021,2021,2,0,1,Import,442,Luxembourg,LUX,203,Czechia,CZE,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,3199,,,0
H5,2021,2021,2021,2,0,1,Import,442,Luxembourg,LUX,208,Denmark,DNK,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,1529,,,0
H5,2021,2021,2021,2,0,1,Import,442,Luxembourg,LUX,218,Ecuador,ECU,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,3067,,,0
H5,2021,2021,2021,2,0,1,Import,442,Luxembourg,LUX,251,France,FRA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,7308040,,,4
