pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
H5,2021,2021,2021,2,0,1,Import,56,Belgium,BEL,0,World,WLD,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,2599813418,,,4
H5,2021,2021,2021,2,0,1,Import,56,Belgium,BEL,32,Argentina,ARG,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,5433960,,,0
H5,2021,2021,2021,2,0,1,Import,56,Belgium,BEL,36,Australia,AUS,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,352251,,,0
H5,2021,2021,2021,2,0,1,Import,56,Belgium,BEL,40,Austria,AUT,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,1616098,,,0
H5,2021,2021,2021,2,0,1,Import,56,Belgium,BEL,50,Bangladesh,BGD,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,561,,,0
H5,2021,2021,2021,2,0,1,Import,56,Belgium,BEL,51,Armenia,ARM,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,3420,,,0
H5,2021,2021,2021,2,0,1,Import,56,Belgium,BEL,68,Bolivia (Plurinational State of),BOL,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,9926,,,0
H5,2021,2021,2021,2,0,1,Import,56,Belgium,BEL,76,Brazil,BRA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,2221121,,,0
H5,2021,2021,2021,2,0,1,Import,56,Belgium,BEL,100,Bulgaria,BGR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,94825,,,0
H5,2021,2021,2021,2,0,1,Import,56,Belgium,BEL,104,Myanmar,MMR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,57667480,,,0
H5,2021,2021,2021,2,0,1,Import,56,Belgium,BEL,112,Belarus,BLR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,42933,,,0
H5,2021,2021,2021,2,0,1,Import,56,Belgium,BEL,116,Cambodia,KHM,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,1818572,,,0
