pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
H5,2021,2021,2021,2,0,1,Import,504,Morocco,MAR,0,World,WLD,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,2389378455,,,4
H5,2021,2021,2021,2,0,1,Import,504,Morocco,MAR,32,Argentina,ARG,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,541693333,,,0
H5,2021,2021,2021,2,0,1,Import,504,Morocco,MAR,40,Austria,AUT,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,97,,,0
H5,2021,2021,2021,2,0,1,Import,504,Morocco,MAR,56,Belgium,BEL,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,13769,,,0
H5,2021,2021,2021,2,0,1,Import,504,Morocco,MAR,68,Bolivia (Plurinational State of),BOL,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,51059,,,0
H5,2021,2021,2021,2,0,1,Import,504,Morocco,MAR,76,Brazil,BRA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,125345709,,,0
H5,2021,2021,2021,2,0,1,Import,504,Morocco,MAR,100,Bulgaria,BGR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,38665624,,,0
H5,2021,2021,2021,2,0,1,Import,504,Morocco,MAR,116,Cambodia,KHM,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,5219,,,0
H5,2021,2021,2021,2,0,1,Import,504,Morocco,MAR,124,Canada,CAN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,433696293,,,0
H5,2021,2021,2021,2,0,1,Import,504,Morocco,MAR,156,China,CHN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,4918871,,,0
H5,2021,2021,2021,2,0,1,Import,504,Morocco,MAR,191,Croatia,HRV,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,1669,,,0
H5,2021,2021,2021,2,0,1,Import,504,Morocco,MAR,196,Cyprus,CYP,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,46260,,,0
H5,2021,2021,2021,2,0,1,Import,504,Morocco,MAR,208,Denmark,DNK,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,8354342,,,0
H5,2021,2021,2021,2,0,1,Import,504,Morocco,MAR,233,Estonia,EST,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,3707840,,,0
H5,2021,2021,2021,2,0,1,Import,504,Morocco,MAR,246,Finland,FIN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,3386027,,,0
H5,2021,2021,2021,2,0,1,Import,504,Morocco,MAR,251,France,FRA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,353528946,,,0
H5,2021,2021,2021,2,0,1,Import,504,Morocco,MAR,276,Germany,DEU,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,60215986,,,0
H5,2021,2021,2021,2,0,1,Import,504,Morocco,MAR,300,Greece,GRC,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,398276,,,0
H5,2021,2021,2021,2,0,1,Import,504,Morocco,MAR,348,Hungary,HUN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,458839,,,0
H5,2021,2021,2021,2,0,1,Import,504,Morocco,MAR,381,Italy,ITA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,5880087,,,4
