pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
H5,2021,2021,2021,2,0,1,Import,579,Norway,NOR,0,World,WLD,,,,,,,,10,Cereals,1,No Quantity,,,0,,,,172072910,,,0
H5,2021,2021,2021,2,0,1,Import,579,Norway,NOR,32,Argentina,ARG,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,124954,,,0
H5,2021,2021,2021,2,0,1,Import,579,Norway,NOR,40,Austria,AUT,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,147359,,,0
H5,2021,2021,2021,2,0,1,Import,579,Norway,NOR,50,Bangladesh,BGD,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,2280,,,0
H5,2021,2021,2021,2,0,1,Import,579,Norway,NOR,56,Belgium,BEL,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,569331,,,0
H5,2021,2021,2021,2,0,1,Import,579,Norway,NOR,68,Bolivia (Plurinational State of),BOL,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,43861,,,0
H5,2021,2021,2021,2,0,1,Import,579,Norway,NOR,76,Brazil,BRA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,52501,,,0
H5,2021,2021,2021,2,0,1,Import,579,Norway,NOR,112,Belarus,BLR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,4830019,,,0
H5,2021,2021,2021,2,0,1,Import,579,Norway,NOR,116,Cambodia,KHM,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,74569,,,0
H5,2021,2021,2021,2,0,1,Import,579,Norway,NOR,124,Canada,CAN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,589,,,0
H5,2021,2021,2021,2,0,1,Import,579,Norway,NOR,144,Sri Lanka,LKA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,157503,,,0
H5,2021,2021,2021,2,0,1,Import,579,Norway,NOR,152,Chile,CHL,,,,,,,,10,Cereals,1,No Quantity,,,0,,,,14789,,,0
H5,2021,2021,2021,2,0,1,Import,579,Norway,NOR,156,China,CHN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,24449,,,0
H5,2021,2021,2021,2,0,1,Import,579,Norway,NOR,170,Colombia,COL,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,117,,,0
H5,2021,2021,2021,2,0,1,Import,579,Norway,NOR,203,Czechia,CZE,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,539000,,,0
H5,2021,2021,2021,2,0,1,Import,579,Norway,NOR,208,Denmark,DNK,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,6098716,,,0
