pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
H5,2021,2021,2021,2,0,1,Import,422,Lebanon,LBN,0,World,WLD,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,430570048,,,0
H5,2021,2021,2021,2,0,1,Import,422,Lebanon,LBN,32,Argentina,ARG,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,15259131,,,0
H5,2021,2021,2021,2,0,1,Import,422,Lebanon,LBN,36,Australia,AUS,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,102589,,,0
H5,2021,2021,2021,2,0,1,Import,422,Lebanon,LBN,50,Bangladesh,BGD,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,9833,,,0
H5,2021,2021,2021,2,0,1,Import,422,Lebanon,LBN,56,Belgium,BEL,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,146,,,0
H5,2021,2021,2021,2,0,1,Import,422,Lebanon,LBN,68,Bolivia (Plurinational State of),BOL,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,30330,,,0
H5,2021,2021,2021,2,0,1,Import,422,Lebanon,LBN,76,Brazil,BRA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,11033741,,,0
H5,2021,2021,2021,2,0,1,Import,422,Lebanon,LBN,100,Bulgaria,BGR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,3447279,,,0
H5,2021,2021,2021,2,0,1,Import,422,Lebanon,LBN,104,Myanmar,MMR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,64324,,,0
H5,2021,2021,2021,2,0,1,Import,422,Lebanon,LBN,116,Cambodia,KHM,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,7038,,,0
H5,2021,2021,2021,2,0,1,Import,422,Lebanon,LBN,124,Canada,CAN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,193011,,,0
