pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
H5,2021,2021,2021,2,0,1,Import,31,Azerbaijan,AZE,0,World,WLD,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,388606723,,,0
H5,2021,2021,2021,2,0,1,Import,31,Azerbaijan,AZE,31,Azerbaijan,AZE,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,31664,,,0
H5,2021,2021,2021,2,0,1,Import,31,Azerbaijan,AZE,32,Argentina,ARG,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,387184,,,0
H5,2021,2021,2021,2,0,1,Import,31,Azerbaijan,AZE,40,Austria,AUT,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,375781,,,0
H5,2021,2021,2021,2,0,1,Import,31,Azerbaijan,AZE,56,Belgium,BEL,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,4361,,,0
H5,2021,2021,2021,2,0,1,Import,31,Azerbaijan,AZE,68,Bolivia (Plurinational State of),BOL,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,104,,,0
H5,2021,2021,2021,2,0,1,Import,31,Azerbaijan,AZE,100,Bulgaria,BGR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,4597,,,0
H5,2021,2021,2021,2,0,1,Import,31,Azerbaijan,AZE,112,Belarus,BLR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,165,,,0
H5,2021,2021,2021,2,0,1,Import,31,Azerbaijan,AZE,116,Cambodia,KHM,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,8160,,,0
H5,2021,2021,2021,2,0,1,Import,31,Azerbaijan,AZE,156,China,CHN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,66282,,,0
H5,2021,2021,2021,2,0,1,Import,31,Azerbaijan,AZE,170,Colombia,COL,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,80,,,0
H5,2021,2021,2021,2,0,1,Import,31,Azerbaijan,AZE,251,France,FRA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,386171,,,0
H5,2021,2021,2021,2,0,1,Import,31,Azerbaijan,AZE,268,Georgia,GEO,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,453,,,0
H5,2021,2021,2021,2,0,1,Import,31,Azerbaijan,AZE,276,Germany,DEU,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,160174,,,0
H5,2021,2021,2021,2,0,1,Import,31,Azerbaijan,AZE,300,Greece,GRC,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,1040,,,0
H5,2021,2021,2021,2,0,1,Import,31,Azerbaijan,AZE,348,Hungary,HUN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,99270,,,0
H5,2021,2021,2021,2,0,1,Import,31,Azerbaijan,AZE,364,Iran,IRN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,22127,,,0
H5,2021,2021,2021,2,0,1,Import,31,Azerbaijan,AZE,381,Italy,ITA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,855034,,,0
