pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
H5,2021,2021,2021,2,0,1,Import,458,Malaysia,MYS,0,World,WLD,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,2146150923,,,0
H5,2021,2021,2021,2,0,1,Import,458,Malaysia,MYS,32,Argentina,ARG,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,836247470,,,0
H5,2021,2021,2021,2,0,1,Import,458,Malaysia,MYS,36,Australia,AUS,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,296467549,,,0
H5,2021,2021,2021,2,0,1,Import,458,Malaysia,MYS,50,Bangladesh,BGD,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,1449130,,,0
H5,2021,2021,2021,2,0,1,Import,458,Malaysia,MYS,68,Bolivia (Plurinational State of),BOL,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,456675,,,0
H5,2021,2021,2021,2,0,1,Import,458,Malaysia,MYS,76,Brazil,BRA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,181314109,,,0
H5,2021,2021,2021,2,0,1,Import,458,Malaysia,MYS,84,Belize,BLZ,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,2337431,,,0
H5,2021,2021,2021,2,0,1,Import,458,Malaysia,MYS,100,Bulgaria,BGR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,49236,,,0
H5,2021,2021,2021,2,0,1,Import,458,Malaysia,MYS,104,Myanmar,MMR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,8154873,,,0
H5,2021,2021,2021,2,0,1,Import,458,Malaysia,MYS,116,Cambodia,KHM,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,31116962,,,0
H5,2021,2021,2021,2,0,1,Import,458,Malaysia,MYS,124,Canada,CAN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,47041537,,,0
H5,2021,2021,2021,2,0,1,Import,458,Malaysia,MYS,156,China,CHN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,1067567,,,0
H5,2021,2021,2021,2,0,1,Import,458,Malaysia,MYS,251,France,FRA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,20652,,,0
H5,2021,2021,2021,2,0,1,Import,458,Malaysia,MYS,288,Ghana,GHA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,349016,,,0
H5,2021,2021,2021,2,0,1,Import,458,Malaysia,MYS,300,Greece,GRC,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,1553,,,0
H5,2021,2021,2021,2,0,1,Import,458,Malaysia,MYS,348,Hungary,HUN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,24871,,,0
H5,2021,2021,2021,2,0,1,Import,458,Malaysia,MYS,360,Indonesia,IDN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,415259,,,0
H5,2021,2021,2021,2,0,1,Import,458,Malaysia,MYS,381,Italy,ITA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,5068,,,0
H5,2021,2021,2021,2,0,1,Import,458,Malaysia,MYS,392,Japan,JPN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,863607,,,0
